--- WORKSHEET: 01_Business_Scenario ---

Field,Value,Value2,Value3
WINAIM Compliance Work Definition Workbook,,,
"Synthetic seed dataset for Compliance Traceability Network (CTN), Knowledge Graph, AI reasoning, and 52-week operational calendar",,,
,,,
SYNTHETIC DATA DISCLAIMER,,,
"All regulatory authorities, regulation names, clause numbers, standard citations, insurance clauses, and vendor details in this workbook are ILLUSTRATIVE AND SYNTHETIC. They are not real regulatory guidance and have not been independently verified. This dataset is a structural seed for compliance workflow, knowledge-graph, and calendar systems only, and must not be used as, or substituted for, verified regulatory research, legal advice, actual insurance policy wording, or a real compliance determination.",,,
,,,
Business Domain,Industrial Parks & Warehouse Chain (3PL / Built-to-Suit Logistics Real Estate),,
Business Scenario,"Multi-country network of Industrial Parks each hosting one or more grade-A warehouses, covering EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, and Waste Management",,
Company,Vantage Industrial Parks & Logistics REIT,,
Network Scale,"20 Industrial Park locations (10 India, 10 UK) hosting 50 warehouses in total",,
Applicable Regulatory Authorities,"BIS, State Fire & Emergency Services Dept (India), Factories & Boilers Inspectorate (India), CPCB/SPCB, PESO, HSE (UK), Local Fire and Rescue Authority (UK), Environment Agency (UK)",,
Applicable Regulations,"National Building Code of India Part 4 (Fire & Life Safety), State Fire NOC Rules, Factories Act 1948, Hazardous Waste Rules 2016, Solid Waste Management Rules 2016, Petroleum/Pressure Vessel Rules, Regulatory Reform (Fire Safety) Order 2005, Building Regulations 2010 Approved Document B, Health and Safety at Work etc. Act 1974, COMAH Regulations 2015, Environmental Permitting Regulations 2016",,
Applicable Standards,"ISO 45001:2018, ISO 14001:2015, ISO 41001:2018, ISO 31000:2018, ISO 22301:2019, ISO 9001:2015, NFPA 25, NFPA 72, BS 9999:2017, IS 3844 / SP 7 (NBC)",,
Business Units,"EHS, Facilities Management, Compliance, Risk & Insurance, Warehouse Operations, Security",,
Organization Structure,Company -> Business Unit -> Department -> Role,,
Spatial Hierarchy,Company -> Site (Industrial Park) -> Building (Warehouse) -> Floor -> Zone -> Room -> Process -> Asset -> Equipment,,
Compliance Pillars,"EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, Waste Management, plus Insurance Risk Mitigation as a cross-cutting pillar",,
Compliance Areas,Fire Detection & Alarm Systems; Fire Suppression Systems; Emergency Preparedness & Response; Occupational Health & Safety (EHS); Hazardous Materials & Chemical Safety; Waste Management; Facilities & Asset Maintenance (FM); Environmental Compliance; Hazard & Risk Assessment; Insurance Compliance & Risk Mitigation,,
Regulatory Scope Note,"Building/fire safety codes scoped to India (NBC Part 4, State Fire NOC, IS 3844) and UK (RRFSO 2005, Building Regs Approved Doc B, BS 9999); ISO management-system standards applied network-wide; fire suppression assets tracked with SLA/checks/SOP/vendor (AMC) linkage; emergency response and insurance risk-mitigation clauses/premium stipulations tracked as first-class compliance domains.",,
Operational Controls (count),30,,
Output Scale - Tasks,60,,
Output Scale - Controls,30,,
Output Scale - Compliance Areas,10,,
Output Scale - Business Units,6,,
Output Scale - Sites (Industrial Parks),20,,
Output Scale - Buildings (Warehouses),50,,
Output Scale - Roles,16,,
Output Scale - Vendors (AMC/Service),12,,
Output Scale - Insurance Risk Clauses,15,,
Calendar Duration,52 weeks,,
Generated On,2026-07-16,,
,,,
Data Volume Calibration (ratios applied),,,
Entity,Default Ratio to Controls,Generated Count,Notes
Obligations,~1.1 per Control,34,A control may satisfy more than one obligation; 4 obligations are general/contextual
Clauses,1.0 per Obligation,34,One primary clause per obligation
Tasks,2 per Control,60,Two frequency variants generated per control
Checklists / Templates,2 per Compliance Area,20,"One primary + one specific checklist per compliance area, reused across tasks"
Roles,"~50% of Compliance Areas x 1.6, min 8",16,Roles are shared across tasks and sites
Sites x Buildings x Assets,20 sites / 50 warehouses / 31 asset types,20 sites / 50 buildings / 31 assets,Each task resolves to >=1 concrete Site/Building/Asset pair
Vendors,Illustrative AMC/service coverage,12,One vendor entry may cover multiple sites/countries
Insurance Risk Clauses,Illustrative warranty/clause set,15,Each linked to a Risk and a Control for premium-impact traceability


--- WORKSHEET: 02_Regulatory_Authorities ---

AuthorityID,Name,Abbreviation,Jurisdiction,Type,Description
CTRL-007,Control,implemented_by,TSK-0014,Task,Traceability,1:N
TSK-0014,Task,performed_at,LOC-013,Site,Spatial,N:1
TSK-0014,Task,performed_in,BLD-036,Building,Spatial,N:1
TSK-0014,Task,uses_asset,AST-005,Asset,Operational,N:1
ROLE-005,Role,responsible_for,TSK-0014,Task,Organizational,1:N
TSK-0014,Task,evidenced_by,CHK-012,Checklist,Operational,N:1
CTRL-008,Control,implemented_by,TSK-0015,Task,Traceability,1:N
TSK-0015,Task,performed_at,LOC-014,Site,Spatial,N:1
TSK-0015,Task,performed_in,BLD-038,Building,Spatial,N:1
TSK-0015,Task,uses_asset,AST-016,Asset,Operational,N:1
ROLE-012,Role,responsible_for,TSK-0015,Task,Organizational,1:N
TSK-0015,Task,evidenced_by,CHK-003,Checklist,Operational,N:1
CTRL-008,Control,implemented_by,TSK-0016,Task,Traceability,1:N
TSK-0016,Task,performed_at,LOC-016,Site,Spatial,N:1
TSK-0016,Task,performed_in,BLD-041,Building,Spatial,N:1
TSK-0016,Task,uses_asset,AST-016,Asset,Operational,N:1
ROLE-012,Role,responsible_for,TSK-0016,Task,Organizational,1:N
TSK-0016,Task,evidenced_by,CHK-013,Checklist,Operational,N:1
CTRL-009,Control,implemented_by,TSK-0017,Task,Traceability,1:N
TSK-0017,Task,performed_at,LOC-017,Site,Spatial,N:1
TSK-0017,Task,performed_in,BLD-043,Building,Spatial,N:1
TSK-0017,Task,uses_asset,AST-017,Asset,Operational,N:1
ROLE-012,Role,responsible_for,TSK-0017,Task,Organizational,1:N
TSK-0017,Task,evidenced_by,CHK-003,Checklist,Operational,N:1
CTRL-009,Control,implemented_by,TSK-0018,Task,Traceability,1:N
TSK-0018,Task,performed_at,LOC-018,Site,Spatial,N:1
TSK-0018,Task,performed_in,BLD-046,Building,Spatial,N:1
TSK-0018,Task,uses_asset,AST-017,Asset,Operational,N:1
ROLE-012,Role,responsible_for,TSK-0018,Task,Organizational,1:N
TSK-0018,Task,evidenced_by,CHK-013,Checklist,Operational,N:1
CTRL-010,Control,implemented_by,TSK-0019,Task,Traceability,1:N
TSK-0019,Task,performed_at,LOC-019,Site,Spatial,N:1
TSK-0019,Task,performed_in,BLD-048,Building,Spatial,N:1
TSK-0019,Task,uses_asset,AST-015,Asset,Operational,N:1
ROLE-012,Role,responsible_for,TSK-0019,Task,Organizational,1:N
TSK-0019,Task,evidenced_by,CHK-003,Checklist,Operational,N:1
CTRL-010,Control,implemented_by,TSK-0020,Task,Traceability,1:N
TSK-0020,Task,performed_at,LOC-001,Site,Spatial,N:1
TSK-0020,Task,performed_in,BLD-001,Building,Spatial,N:1
TSK-0020,Task,uses_asset,AST-015,Asset,Operational,N:1
ROLE-012,Role,responsible_for,TSK-0020,Task,Organizational,1:N
TSK-0020,Task,evidenced_by,CHK-013,Checklist,Operational,N:1
CTRL-011,Control,implemented_by,TSK-0021,Task,Traceability,1:N
TSK-0021,Task,performed_at,LOC-001,Site,Spatial,N:1
TSK-0021,Task,performed_in,BLD-003,Building,Spatial,N:1
TSK-0021,Task,uses_asset,AST-018,Asset,Operational,N:1
ROLE-003,Role,responsible_for,TSK-0021,Task,Organizational,1:N
TSK-0021,Task,evidenced_by,CHK-004,Checklist,Operational,N:1
CTRL-011,Control,implemented_by,TSK-0022,Task,Traceability,1:N
TSK-0022,Task,performed_at,LOC-002,Site,Spatial,N:1
TSK-0022,Task,performed_in,BLD-006,Building,Spatial,N:1
TSK-0022,Task,uses_asset,AST-018,Asset,Operational,N:1
ROLE-003,Role,responsible_for,TSK-0022,Task,Organizational,1:N
TSK-0022,Task,evidenced_by,CHK-014,Checklist,Operational,N:1
CTRL-012,Control,implemented_by,TSK-0023,Task,Traceability,1:N
TSK-0023,Task,performed_at,LOC-003,Site,Spatial,N:1
TSK-0023,Task,performed_in,BLD-008,Building,Spatial,N:1
TSK-0023,Task,uses_asset,AST-018,Asset,Operational,N:1
ROLE-003,Role,responsible_for,TSK-0023,Task,Organizational,1:N
TSK-0023,Task,evidenced_by,CHK-004,Checklist,Operational,N:1
CTRL-012,Control,implemented_by,TSK-0024,Task,Traceability,1:N
TSK-0024,Task,performed_at,LOC-004,Site,Spatial,N:1
TSK-0024,Task,performed_in,BLD-011,Building,Spatial,N:1
TSK-0024,Task,uses_asset,AST-018,Asset,Operational,N:1
ROLE-003,Role,responsible_for,TSK-0024,Task,Organizational,1:N
TSK-0024,Task,evidenced_by,CHK-014,Checklist,Operational,N:1
CTRL-013,Control,implemented_by,TSK-0025,Task,Traceability,1:N
TSK-0025,Task,performed_at,LOC-005,Site,Spatial,N:1
TSK-0025,Task,performed_in,BLD-013,Building,Spatial,N:1
TSK-0025,Task,uses_asset,AST-022,Asset,Operational,N:1
ROLE-003,Role,responsible_for,TSK-0025,Task,Organizational,1:N
TSK-0025,Task,evidenced_by,CHK-004,Checklist,Operational,N:1
CTRL-013,Control,implemented_by,TSK-0026,Task,Traceability,1:N
TSK-0026,Task,performed_at,LOC-006,Site,Spatial,N:1
TSK-0026,Task,performed_in,BLD-016,Building,Spatial,N:1
TSK-0026,Task,uses_asset,AST-022,Asset,Operational,N:1
ROLE-003,Role,responsible_for,TSK-0026,Task,Organizational,1:N
TSK-0026,Task,evidenced_by,CHK-014,Checklist,Operational,N:1
CTRL-014,Control,implemented_by,TSK-0027,Task,Traceability,1:N
TSK-0027,Task,performed_at,LOC-006,Site,Spatial,N:1
TSK-0027,Task,performed_in,BLD-018,Building,Spatial,N:1
TSK-0027,Task,uses_asset,AST-026,Asset,Operational,N:1
ROLE-010,Role,responsible_for,TSK-0027,Task,Organizational,1:N
TSK-0027,Task,evidenced_by,CHK-005,Checklist,Operational,N:1
CTRL-014,Control,implemented_by,TSK-0028,Task,Traceability,1:N
TSK-0028,Task,performed_at,LOC-007,Site,Spatial,N:1
TSK-0028,Task,performed_in,BLD-021,Building,Spatial,N:1
TSK-0028,Task,uses_asset,AST-026,Asset,Operational,N:1
ROLE-010,Role,responsible_for,TSK-0028,Task,Organizational,1:N
TSK-0028,Task,evidenced_by,CHK-015,Checklist,Operational,N:1
CTRL-015,Control,implemented_by,TSK-0029,Task,Traceability,1:N
TSK-0029,Task,performed_at,LOC-008,Site,Spatial,N:1
TSK-0029,Task,performed_in,BLD-023,Building,Spatial,N:1
TSK-0029,Task,uses_asset,AST-021,Asset,Operational,N:1
ROLE-010,Role,responsible_for,TSK-0029,Task,Organizational,1:N
TSK-0029,Task,evidenced_by,CHK-005,Checklist,Operational,N:1
CTRL-015,Control,implemented_by,TSK-0030,Task,Traceability,1:N
TSK-0030,Task,performed_at,LOC-009,Site,Spatial,N:1
TSK-0030,Task,performed_in,BLD-026,Building,Spatial,N:1
TSK-0030,Task,uses_asset,AST-021,Asset,Operational,N:1
ROLE-010,Role,responsible_for,TSK-0030,Task,Organizational,1:N
TSK-0030,Task,evidenced_by,CHK-015,Checklist,Operational,N:1
CTRL-016,Control,implemented_by,TSK-0031,Task,Traceability,1:N
TSK-0031,Task,performed_at,LOC-010,Site,Spatial,N:1
TSK-0031,Task,performed_in,BLD-028,Building,Spatial,N:1
TSK-0031,Task,uses_asset,AST-017,Asset,Operational,N:1
ROLE-010,Role,responsible_for,TSK-0031,Task,Organizational,1:N
TSK-0031,Task,evidenced_by,CHK-005,Checklist,Operational,N:1
CTRL-016,Control,implemented_by,TSK-0032,Task,Traceability,1:N
TSK-0032,Task,performed_at,LOC-011,Site,Spatial,N:1
TSK-0032,Task,performed_in,BLD-031,Building,Spatial,N:1
TSK-0032,Task,uses_asset,AST-017,Asset,Operational,N:1
ROLE-010,Role,responsible_for,TSK-0032,Task,Organizational,1:N
TSK-0032,Task,evidenced_by,CHK-015,Checklist,Operational,N:1
CTRL-017,Control,implemented_by,TSK-0033,Task,Traceability,1:N
TSK-0033,Task,performed_at,LOC-012,Site,Spatial,N:1
TSK-0033,Task,performed_in,BLD-033,Building,Spatial,N:1
TSK-0033,Task,uses_asset,AST-027,Asset,Operational,N:1
ROLE-011,Role,responsible_for,TSK-0033,Task,Organizational,1:N
TSK-0033,Task,evidenced_by,CHK-006,Checklist,Operational,N:1
CTRL-017,Control,implemented_by,TSK-0034,Task,Traceability,1:N
TSK-0034,Task,performed_at,LOC-013,Site,Spatial,N:1
TSK-0034,Task,performed_in,BLD-036,Building,Spatial,N:1
TSK-0034,Task,uses_asset,AST-027,Asset,Operational,N:1
ROLE-011,Role,responsible_for,TSK-0034,Task,Organizational,1:N
TSK-0034,Task,evidenced_by,CHK-016,Checklist,Operational,N:1
CTRL-018,Control,implemented_by,TSK-0035,Task,Traceability,1:N
TSK-0035,Task,performed_at,LOC-014,Site,Spatial,N:1
TSK-0035,Task,performed_in,BLD-038,Building,Spatial,N:1
TSK-0035,Task,uses_asset,AST-026,Asset,Operational,N:1
ROLE-011,Role,responsible_for,TSK-0035,Task,Organizational,1:N
TSK-0035,Task,evidenced_by,CHK-006,Checklist,Operational,N:1
CTRL-018,Control,implemented_by,TSK-0036,Task,Traceability,1:N
TSK-0036,Task,performed_at,LOC-016,Site,Spatial,N:1
TSK-0036,Task,performed_in,BLD-041,Building,Spatial,N:1
TSK-0036,Task,uses_asset,AST-026,Asset,Operational,N:1
ROLE-011,Role,responsible_for,TSK-0036,Task,Organizational,1:N
TSK-0036,Task,evidenced_by,CHK-016,Checklist,Operational,N:1
CTRL-019,Control,implemented_by,TSK-0037,Task,Traceability,1:N
TSK-0037,Task,performed_at,LOC-017,Site,Spatial,N:1
TSK-0037,Task,performed_in,BLD-043,Building,Spatial,N:1
TSK-0037,Task,uses_asset,AST-023,Asset,Operational,N:1
ROLE-007,Role,responsible_for,TSK-0037,Task,Organizational,1:N
TSK-0037,Task,evidenced_by,CHK-007,Checklist,Operational,N:1
CTRL-019,Control,implemented_by,TSK-0038,Task,Traceability,1:N
TSK-0038,Task,performed_at,LOC-018,Site,Spatial,N:1
TSK-0038,Task,performed_in,BLD-046,Building,Spatial,N:1
TSK-0038,Task,uses_asset,AST-023,Asset,Operational,N:1
ROLE-007,Role,responsible_for,TSK-0038,Task,Organizational,1:N
TSK-0038,Task,evidenced_by,CHK-017,Checklist,Operational,N:1
CTRL-020,Control,implemented_by,TSK-0039,Task,Traceability,1:N
TSK-0039,Task,performed_at,LOC-019,Site,Spatial,N:1
TSK-0039,Task,performed_in,BLD-048,Building,Spatial,N:1
TSK-0039,Task,uses_asset,AST-031,Asset,Operational,N:1
ROLE-007,Role,responsible_for,TSK-0039,Task,Organizational,1:N
TSK-0039,Task,evidenced_by,CHK-007,Checklist,Operational,N:1
CTRL-020,Control,implemented_by,TSK-0040,Task,Traceability,1:N
TSK-0040,Task,performed_at,LOC-001,Site,Spatial,N:1
TSK-0040,Task,performed_in,BLD-001,Building,Spatial,N:1
TSK-0040,Task,uses_asset,AST-031,Asset,Operational,N:1
ROLE-007,Role,responsible_for,TSK-0040,Task,Organizational,1:N
TSK-0040,Task,evidenced_by,CHK-017,Checklist,Operational,N:1
CTRL-021,Control,implemented_by,TSK-0041,Task,Traceability,1:N
TSK-0041,Task,performed_at,LOC-001,Site,Spatial,N:1
TSK-0041,Task,performed_in,BLD-003,Building,Spatial,N:1
TSK-0041,Task,uses_asset,AST-019,Asset,Operational,N:1
ROLE-007,Role,responsible_for,TSK-0041,Task,Organizational,1:N
TSK-0041,Task,evidenced_by,CHK-007,Checklist,Operational,N:1
CTRL-021,Control,implemented_by,TSK-0042,Task,Traceability,1:N
TSK-0042,Task,performed_at,LOC-002,Site,Spatial,N:1
TSK-0042,Task,performed_in,BLD-006,Building,Spatial,N:1
TSK-0042,Task,uses_asset,AST-019,Asset,Operational,N:1
ROLE-007,Role,responsible_for,TSK-0042,Task,Organizational,1:N
TSK-0042,Task,evidenced_by,CHK-017,Checklist,Operational,N:1
CTRL-022,Control,implemented_by,TSK-0043,Task,Traceability,1:N
TSK-0043,Task,performed_at,LOC-003,Site,Spatial,N:1
TSK-0043,Task,performed_in,BLD-008,Building,Spatial,N:1
TSK-0043,Task,uses_asset,AST-024,Asset,Operational,N:1
ROLE-007,Role,responsible_for,TSK-0043,Task,Organizational,1:N
TSK-0043,Task,evidenced_by,CHK-007,Checklist,Operational,N:1
CTRL-022,Control,implemented_by,TSK-0044,Task,Traceability,1:N
TSK-0044,Task,performed_at,LOC-004,Site,Spatial,N:1
TSK-0044,Task,performed_in,BLD-011,Building,Spatial,N:1
TSK-0044,Task,uses_asset,AST-024,Asset,Operational,N:1
ROLE-007,Role,responsible_for,TSK-0044,Task,Organizational,1:N
TSK-0044,Task,evidenced_by,CHK-017,Checklist,Operational,N:1
CTRL-023,Control,implemented_by,TSK-0045,Task,Traceability,1:N
TSK-0045,Task,performed_at,LOC-005,Site,Spatial,N:1
TSK-0045,Task,performed_in,BLD-013,Building,Spatial,N:1
TSK-0045,Task,uses_asset,AST-025,Asset,Operational,N:1
ROLE-010,Role,responsible_for,TSK-0045,Task,Organizational,1:N
TSK-0045,Task,evidenced_by,CHK-008,Checklist,Operational,N:1
CTRL-023,Control,implemented_by,TSK-0046,Task,Traceability,1:N
TSK-0046,Task,performed_at,LOC-006,Site,Spatial,N:1
TSK-0046,Task,performed_in,BLD-016,Building,Spatial,N:1
TSK-0046,Task,uses_asset,AST-025,Asset,Operational,N:1
ROLE-010,Role,responsible_for,TSK-0046,Task,Organizational,1:N
TSK-0046,Task,evidenced_by,CHK-018,Checklist,Operational,N:1
CTRL-024,Control,implemented_by,TSK-0047,Task,Traceability,1:N
TSK-0047,Task,performed_at,LOC-006,Site,Spatial,N:1
TSK-0047,Task,performed_in,BLD-018,Building,Spatial,N:1
TSK-0047,Task,uses_asset,AST-024,Asset,Operational,N:1
ROLE-010,Role,responsible_for,TSK-0047,Task,Organizational,1:N
TSK-0047,Task,evidenced_by,CHK-008,Checklist,Operational,N:1
CTRL-024,Control,implemented_by,TSK-0048,Task,Traceability,1:N
TSK-0048,Task,performed_at,LOC-007,Site,Spatial,N:1
TSK-0048,Task,performed_in,BLD-021,Building,Spatial,N:1
TSK-0048,Task,uses_asset,AST-024,Asset,Operational,N:1
ROLE-010,Role,responsible_for,TSK-0048,Task,Organizational,1:N
TSK-0048,Task,evidenced_by,CHK-018,Checklist,Operational,N:1
CTRL-025,Control,implemented_by,TSK-0049,Task,Traceability,1:N
TSK-0049,Task,performed_at,LOC-008,Site,Spatial,N:1
TSK-0049,Task,performed_in,BLD-023,Building,Spatial,N:1
TSK-0049,Task,uses_asset,AST-013,Asset,Operational,N:1
ROLE-015,Role,responsible_for,TSK-0049,Task,Organizational,1:N
TSK-0049,Task,evidenced_by,CHK-009,Checklist,Operational,N:1
CTRL-025,Control,implemented_by,TSK-0050,Task,Traceability,1:N
TSK-0050,Task,performed_at,LOC-009,Site,Spatial,N:1
TSK-0050,Task,performed_in,BLD-026,Building,Spatial,N:1
TSK-0050,Task,uses_asset,AST-013,Asset,Operational,N:1
ROLE-015,Role,responsible_for,TSK-0050,Task,Organizational,1:N
TSK-0050,Task,evidenced_by,CHK-019,Checklist,Operational,N:1
CTRL-026,Control,implemented_by,TSK-0051,Task,Traceability,1:N
TSK-0051,Task,performed_at,LOC-010,Site,Spatial,N:1
TSK-0051,Task,performed_in,BLD-028,Building,Spatial,N:1
TSK-0051,Task,uses_asset,AST-029,Asset,Operational,N:1
ROLE-015,Role,responsible_for,TSK-0051,Task,Organizational,1:N
TSK-0051,Task,evidenced_by,CHK-009,Checklist,Operational,N:1
CTRL-026,Control,implemented_by,TSK-0052,Task,Traceability,1:N
TSK-0052,Task,performed_at,LOC-011,Site,Spatial,N:1
TSK-0052,Task,performed_in,BLD-031,Building,Spatial,N:1
TSK-0052,Task,uses_asset,AST-029,Asset,Operational,N:1
ROLE-015,Role,responsible_for,TSK-0052,Task,Organizational,1:N
TSK-0052,Task,evidenced_by,CHK-019,Checklist,Operational,N:1
CTRL-027,Control,implemented_by,TSK-0053,Task,Traceability,1:N
TSK-0053,Task,performed_at,LOC-012,Site,Spatial,N:1
TSK-0053,Task,performed_in,BLD-033,Building,Spatial,N:1
TSK-0053,Task,uses_asset,AST-028,Asset,Operational,N:1
ROLE-015,Role,responsible_for,TSK-0053,Task,Organizational,1:N
TSK-0053,Task,evidenced_by,CHK-009,Checklist,Operational,N:1
CTRL-027,Control,implemented_by,TSK-0054,Task,Traceability,1:N
TSK-0054,Task,performed_at,LOC-013,Site,Spatial,N:1
TSK-0054,Task,performed_in,BLD-036,Building,Spatial,N:1
TSK-0054,Task,uses_asset,AST-028,Asset,Operational,N:1
ROLE-015,Role,responsible_for,TSK-0054,Task,Organizational,1:N
TSK-0054,Task,evidenced_by,CHK-019,Checklist,Operational,N:1
CTRL-028,Control,implemented_by,TSK-0055,Task,Traceability,1:N
TSK-0055,Task,performed_at,LOC-014,Site,Spatial,N:1
TSK-0055,Task,performed_in,BLD-038,Building,Spatial,N:1
TSK-0055,Task,uses_asset,AST-030,Asset,Operational,N:1
ROLE-014,Role,responsible_for,TSK-0055,Task,Organizational,1:N
TSK-0055,Task,evidenced_by,CHK-010,Checklist,Operational,N:1
CTRL-028,Control,implemented_by,TSK-0056,Task,Traceability,1:N
TSK-0056,Task,performed_at,LOC-016,Site,Spatial,N:1
TSK-0056,Task,performed_in,BLD-041,Building,Spatial,N:1
TSK-0056,Task,uses_asset,AST-030,Asset,Operational,N:1
ROLE-014,Role,responsible_for,TSK-0056,Task,Organizational,1:N
TSK-0056,Task,evidenced_by,CHK-020,Checklist,Operational,N:1
CTRL-029,Control,implemented_by,TSK-0057,Task,Traceability,1:N
TSK-0057,Task,performed_at,LOC-017,Site,Spatial,N:1
TSK-0057,Task,performed_in,BLD-043,Building,Spatial,N:1
TSK-0057,Task,uses_asset,AST-013,Asset,Operational,N:1
ROLE-014,Role,responsible_for,TSK-0057,Task,Organizational,1:N
TSK-0057,Task,evidenced_by,CHK-010,Checklist,Operational,N:1
CTRL-029,Control,implemented_by,TSK-0058,Task,Traceability,1:N
TSK-0058,Task,performed_at,LOC-018,Site,Spatial,N:1
TSK-0058,Task,performed_in,BLD-046,Building,Spatial,N:1
TSK-0058,Task,uses_asset,AST-013,Asset,Operational,N:1
ROLE-014,Role,responsible_for,TSK-0058,Task,Organizational,1:N
TSK-0058,Task,evidenced_by,CHK-020,Checklist,Operational,N:1
CTRL-030,Control,implemented_by,TSK-0059,Task,Traceability,1:N
TSK-0059,Task,performed_at,LOC-019,Site,Spatial,N:1
TSK-0059,Task,performed_in,BLD-048,Building,Spatial,N:1
TSK-0059,Task,uses_asset,AST-028,Asset,Operational,N:1
ROLE-014,Role,responsible_for,TSK-0059,Task,Organizational,1:N
TSK-0059,Task,evidenced_by,CHK-010,Checklist,Operational,N:1
CTRL-030,Control,implemented_by,TSK-0060,Task,Traceability,1:N
TSK-0060,Task,performed_at,LOC-001,Site,Spatial,N:1
TSK-0060,Task,performed_in,BLD-001,Building,Spatial,N:1
TSK-0060,Task,uses_asset,AST-028,Asset,Operational,N:1
ROLE-014,Role,responsible_for,TSK-0060,Task,Organizational,1:N
TSK-0060,Task,evidenced_by,CHK-020,Checklist,Operational,N:1
Warehouse Operations,BusinessUnit,contains,ROLE-001,Role,Organizational,1:N
Warehouse Operations,BusinessUnit,contains,ROLE-002,Role,Organizational,1:N
EHS,BusinessUnit,contains,ROLE-003,Role,Organizational,1:N
EHS,BusinessUnit,contains,ROLE-004,Role,Organizational,1:N
EHS,BusinessUnit,contains,ROLE-005,Role,Organizational,1:N
EHS,BusinessUnit,contains,ROLE-006,Role,Organizational,1:N
Facilities Management,BusinessUnit,contains,ROLE-007,Role,Organizational,1:N
Facilities Management,BusinessUnit,contains,ROLE-008,Role,Organizational,1:N
Facilities Management,BusinessUnit,contains,ROLE-009,Role,Organizational,1:N
EHS,BusinessUnit,contains,ROLE-010,Role,Organizational,1:N
Facilities Management,BusinessUnit,contains,ROLE-011,Role,Organizational,1:N
EHS,BusinessUnit,contains,ROLE-012,Role,Organizational,1:N
Security,BusinessUnit,contains,ROLE-013,Role,Organizational,1:N
Risk & Insurance,BusinessUnit,contains,ROLE-014,Role,Organizational,1:N
Compliance,BusinessUnit,contains,ROLE-015,Role,Organizational,1:N
Facilities Management,BusinessUnit,contains,ROLE-016,Role,Organizational,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-001,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-002,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-003,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-004,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-005,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-006,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-007,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-008,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-009,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-010,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-011,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-012,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-013,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-014,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-015,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-016,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-017,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-018,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-019,Site,Spatial,1:N
Vantage Industrial Parks & Logistics REIT,Company,operates,LOC-020,Site,Spatial,1:N
LOC-001,Site,contains,BLD-001,Building,Spatial,1:N
LOC-001,Site,contains,BLD-002,Building,Spatial,1:N
LOC-001,Site,contains,BLD-003,Building,Spatial,1:N
LOC-002,Site,contains,BLD-004,Building,Spatial,1:N
LOC-002,Site,contains,BLD-005,Building,Spatial,1:N
LOC-002,Site,contains,BLD-006,Building,Spatial,1:N
LOC-003,Site,contains,BLD-007,Building,Spatial,1:N
LOC-003,Site,contains,BLD-008,Building,Spatial,1:N
LOC-003,Site,contains,BLD-009,Building,Spatial,1:N
LOC-004,Site,contains,BLD-010,Building,Spatial,1:N
LOC-004,Site,contains,BLD-011,Building,Spatial,1:N
LOC-004,Site,contains,BLD-012,Building,Spatial,1:N
LOC-005,Site,contains,BLD-013,Building,Spatial,1:N
LOC-005,Site,contains,BLD-014,Building,Spatial,1:N
LOC-005,Site,contains,BLD-015,Building,Spatial,1:N
LOC-006,Site,contains,BLD-016,Building,Spatial,1:N
LOC-006,Site,contains,BLD-017,Building,Spatial,1:N
LOC-006,Site,contains,BLD-018,Building,Spatial,1:N
LOC-007,Site,contains,BLD-019,Building,Spatial,1:N
LOC-007,Site,contains,BLD-020,Building,Spatial,1:N
LOC-007,Site,contains,BLD-021,Building,Spatial,1:N
LOC-008,Site,contains,BLD-022,Building,Spatial,1:N
LOC-008,Site,contains,BLD-023,Building,Spatial,1:N
LOC-008,Site,contains,BLD-024,Building,Spatial,1:N
LOC-009,Site,contains,BLD-025,Building,Spatial,1:N
LOC-009,Site,contains,BLD-026,Building,Spatial,1:N
